timestamp,sentiment_label,bullish_trend,bearish_trend,signal
2025-02-13 14:13:52,bullish,1.0,0.0,BUY
2025-02-14 00:00:44,bullish,1.0,0.0,BUY
2025-02-13 21:45:04,bullish,1.0,0.0,BUY
2025-02-13 13:58:35,bullish,1.0,0.0,BUY
2025-02-14 03:00:15,bearish,0.8,0.2,BUY
2025-02-13 14:51:04,bullish,0.8333333333333334,0.16666666666666666,BUY
2025-02-14 01:53:45,bullish,0.8571428571428571,0.14285714285714285,BUY
2025-02-13 15:45:02,bullish,0.875,0.125,BUY
2025-02-13 21:44:30,bearish,0.7777777777777778,0.2222222222222222,BUY
2025-02-13 06:29:25,bullish,0.8,0.2,BUY
2025-02-13 08:49:20,bullish,0.8,0.2,BUY
2025-02-13 22:00:02,bearish,0.7,0.3,BUY
2025-02-13 21:32:01,bullish,0.7,0.3,BUY
2025-02-14 07:37:09,bullish,0.7,0.3,BUY
2025-02-14 06:25:42,bullish,0.8,0.2,BUY
2025-02-14 04:03:36,bullish,0.8,0.2,BUY
2025-02-14 08:48:28,bullish,0.8,0.2,BUY
2025-02-13 02:10:03,bullish,0.8,0.2,BUY
2025-02-12 15:55:11,bullish,0.9,0.1,BUY
2025-02-14 08:51:21,bullish,0.9,0.1,BUY
2025-02-14 08:48:58,bullish,0.9,0.1,BUY
2025-02-13 13:59:11,bearish,0.9,0.1,BUY
2025-02-14 08:36:18,bullish,0.9,0.1,BUY
2025-02-14 01:32:44,bearish,0.8,0.2,BUY
2025-02-13 19:54:33,bullish,0.8,0.2,BUY
2025-02-13 19:08:56,bearish,0.7,0.3,BUY
2025-02-13 14:11:55,bullish,0.7,0.3,BUY
2025-02-13 13:56:50,bullish,0.7,0.3,BUY
2025-02-13 13:03:22,bullish,0.7,0.3,BUY
2025-02-14 08:12:09,bullish,0.7,0.3,BUY
2025-02-13 20:30:23,bearish,0.6,0.4,HOLD
2025-02-13 19:31:21,bullish,0.7,0.3,BUY
2025-02-14 06:14:13,bullish,0.7,0.3,BUY
2025-02-13 06:03:18,bullish,0.8,0.2,BUY
2025-02-13 11:18:46,bullish,0.8,0.2,BUY
2025-02-13 05:46:01,bearish,0.8,0.2,BUY
2025-02-12 11:57:38,bearish,0.7,0.3,BUY
2025-02-12 21:28:52,bullish,0.7,0.3,BUY
2025-02-13 16:14:28,bullish,0.7,0.3,BUY
2025-02-13 15:53:23,bullish,0.7,0.3,BUY
2025-02-14 06:22:25,bearish,0.7,0.3,BUY
2025-02-13 22:28:57,bullish,0.7,0.3,BUY
2025-02-14 01:10:16,bearish,0.6,0.4,HOLD
2025-02-12 16:54:37,bearish,0.5,0.5,HOLD
2025-02-12 08:34:30,bullish,0.5,0.5,HOLD
2025-02-12 21:11:08,bearish,0.5,0.5,HOLD
2025-02-12 21:15:05,bullish,0.6,0.4,HOLD
2025-02-12 15:10:13,bearish,0.5,0.5,HOLD
2025-02-13 15:48:45,bearish,0.4,0.6,HOLD
2025-02-12 22:11:13,bearish,0.3,0.7,SELL
2025-02-14 00:53:40,bearish,0.3,0.7,SELL
2025-02-13 17:48:38,bearish,0.2,0.8,SELL
2025-02-13 00:48:02,bullish,0.3,0.7,SELL
2025-02-13 23:24:11,bullish,0.4,0.6,HOLD
2025-02-13 17:00:14,bullish,0.4,0.6,HOLD
2025-02-13 00:00:56,bullish,0.5,0.5,HOLD
2025-02-12 06:01:05,bullish,0.5,0.5,HOLD
2025-02-12 21:12:37,bearish,0.5,0.5,HOLD
2025-02-12 21:30:34,bullish,0.6,0.4,HOLD
2025-02-12 12:44:03,bullish,0.7,0.3,BUY
2025-02-12 15:17:58,bullish,0.8,0.2,BUY
2025-02-13 13:04:53,bullish,0.9,0.1,BUY
2025-02-12 18:38:46,bullish,0.9,0.1,BUY
2025-02-13 15:49:27,bullish,0.9,0.1,BUY
2025-02-13 03:11:56,bullish,0.9,0.1,BUY
2025-02-13 22:00:06,bullish,0.9,0.1,BUY
2025-02-12 06:57:22,bullish,0.9,0.1,BUY
2025-02-13 01:00:33,bullish,1.0,0.0,BUY
2025-02-13 13:53:39,bullish,1.0,0.0,BUY
2025-02-12 16:05:39,bullish,1.0,0.0,BUY
2025-02-11 12:43:04,bearish,0.9,0.1,BUY
2025-02-12 04:08:31,bearish,0.8,0.2,BUY
2025-02-12 22:52:04,bearish,0.7,0.3,BUY
2025-02-12 08:43:11,bullish,0.7,0.3,BUY
2025-02-13 23:32:23,bullish,0.7,0.3,BUY
2025-02-12 03:59:23,bearish,0.6,0.4,HOLD
